sales
0 100
1 128.185
2 96.9462
3 102.061
4 94.1561
5 86.0072
6 84.1545
7 122.146
8 99.5995
9 90.2435
10 113.817
11 84.1799
12 96.6577
13 107.191
14 96.3605
15 126.688
16 101.851
17 118.964
18 128.622
19 118.874
20 91.2061
21 102.381
22 126.264
23 113.566
24 99.4582
25 115.283
26 101.406
27 134.209
28 107.219
29 109.343
30 115.411
31 110.491
32 124.499
33 116.157
34 104.464
35 117.71
36 117.908
37 124.033
38 108.469
39 115.356
40 106.181
41 100.397
42 101.357
43 108.909
44 125.497
45 106.448
46 101.615
47 99.856
48 111.88
49 109.656
50 125.6
51 84.3983
52 113.187
53 125.162
54 120.677
55 105.677
56 128.192
57 104.73
58 101.072
59 101.976
60 127.044
61 106.309
62 101.288
63 106.084
64 110.099
65 108.431
66 107.868
67 105.34
68 91.9462
69 93.7921
70 96.4083
71 111.154
72 108.756
73 84.3998
74 112.88
75 118.644
76 102.232
77 115.119
78 103.976
79 100.024
80 112.221
81 120.99
82 104.7
83 116.13
84 92.6984
85 115.291
86 109.327
87 109.756
88 111.801
89 110.1
90 108.522
91 108.667
92 94.3352
93 106.37
94 113.212
95 93.5518
96 122.852
97 98.0263
98 109.375
99 116.98
100 100.657


